epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1663.08,0.96389,1.14915,1.37026,0.7335,0.78053,0.82099,0.5772,1.03795,0.90484,1.44784,0.001585,0.001585,0.001585
87,1683.71,0.98651,1.1357,1.37257,0.7242,0.75124,0.78775,0.56724,1.01986,0.89274,1.44569,0.001486,0.001486,0.001486
88,1702.15,1.0436,1.15899,1.42609,0.7782,0.7506,0.81708,0.57636,1.05616,0.92567,1.47258,0.001387,0.001387,0.001387
89,1720.77,0.98515,1.15906,1.38651,0.75109,0.76617,0.80899,0.57338,1.04229,0.90565,1.44358,0.001288,0.001288,0.001288
90,1739.34,0.9725,1.16029,1.38455,0.7358,0.76617,0.80995,0.56845,1.03047,0.89637,1.47598,0.001189,0.001189,0.001189
91,1761.48,0.95786,1.05523,1.38483,0.75947,0.74627,0.81982,0.56088,1.12989,0.93443,1.52513,0.00109,0.00109,0.00109
92,1779.49,0.89497,0.97466,1.33387,0.74818,0.74627,0.80694,0.57239,1.00199,0.92771,1.43822,0.000991,0.000991,0.000991
93,1799.39,0.8943,0.94576,1.34694,0.74011,0.75093,0.81741,0.58573,1.01301,0.91001,1.4528,0.000892,0.000892,0.000892
94,1818.62,0.87648,0.91997,1.33376,0.6757,0.81095,0.81373,0.58425,1.03021,0.87919,1.45248,0.000793,0.000793,0.000793
95,1837.1,0.87659,0.91383,1.32448,0.76109,0.76077,0.83222,0.59805,0.98042,0.87821,1.41485,0.000694,0.000694,0.000694
96,1856.95,0.87977,0.88764,1.33295,0.7316,0.77612,0.83496,0.58927,1.01656,0.8708,1.44015,0.000595,0.000595,0.000595
97,1876.85,0.87092,0.9147,1.34712,0.69555,0.81095,0.8165,0.58344,1.00705,0.87955,1.43811,0.000496,0.000496,0.000496
98,1894.56,0.86497,0.86184,1.31511,0.69635,0.81007,0.82929,0.58711,1.01005,0.86771,1.44047,0.000397,0.000397,0.000397
99,1912.27,0.85774,0.86831,1.31156,0.74318,0.78607,0.8368,0.59352,0.98419,0.84689,1.41808,0.000298,0.000298,0.000298
100,1930.35,0.85114,0.87156,1.30575,0.7598,0.77111,0.84365,0.60247,0.99661,0.8445,1.42256,0.000199,0.000199,0.000199
